,name,afk_time,perc
4106,CrispierEgg,513970.0,0.0010782999123856974
4107,xPre_,513956.0,0.0010782705406348688
4108,PopDupe,513730.0,0.0010777963966572064
4109,Blacklightninz,513639.0,0.00107760548027682
4110,Freeziu,513544.0,0.0010774061719676256
4111,DeathReapex,513437.0,0.0010771816878720067
4112,deshone49,513362.0,0.0010770243392068531
4113,TheOmegaUmbreon,513315.0,0.0010769257340433572
4114,magicboy159,513242.0,0.0010767725813426077
4115,Freedom2b2t,513113.0,0.001076501941638544
4116,Pilly,512959.0,0.0010761788523794287
4117,SouperiorDragon,512781.0,0.0010758054115474645
4118,Warned_You,512532.0,0.0010752830139791549
4119,CANNIBAL614,512336.0,0.001074871809467554
4120,bigdawgg12,512284.0,0.0010747627143930475
4121,Jonarock,512232.0,0.0010746536193185412
4122,Kitty_Pow_Pow,512185.0,0.001074555014155045
4123,Sleeving,512161.0,0.001074504662582196
4124,manojisamazing,512088.0,0.0010743515098814464
4125,Firedent,511852.0,0.0010738563860817636
4126,TheWigglyWizard,511680.0,0.0010734955331430116
4127,rachetd7,511638.0,0.0010734074178905255
4128,SwiFtPrvrt,511614.0,0.0010733570663176764
4129,U8MyRice,511601.0,0.0010733297925490499
4130,ZestyTopher,510930.0,0.0010719220464914768
4131,RW__,510773.0,0.0010715926632857556
4132,mistrules4eva,510735.0,0.001071512939962078
4133,Surfboy1,510688.0,0.0010714143347985818
4134,Timestoppa,510433.0,0.00107087934933706
4135,ST4FFINFECTION,510145.0,0.0010702751304628706
4136,Don_Neto,509947.0,0.0010698597299868655
4137,WildCard123,509823.0,0.0010695995801938117
4138,vepticc,509814.0,0.0010695806983539932
4139,Scourge114,509797.0,0.0010695450326565585
4140,khf,509616.0,0.001069165297877988
4141,Tirget,509577.0,0.0010690834765721084
4142,Byalko69,509557.0,0.0010690415169280674
4143,franknbrry,509340.0,0.0010685862547902233
4144,RIPPIGICIALYT,509190.0,0.0010682715574599165
4145,jjpickens97,509016.0,0.0010679065085567605
4146,Brotuulaan,508877.0,0.001067614889030676
